Unnamed: 0,College_Name,State,UG_fee,PG_fee,Rating,Academic,Accommodation,Faculty,Infrastructure,Placement,Social_Life,tier
0,Indian Institute of Technology Madras ,Tamil nadu,"75,116","23,070",8.7,9,7.9,8.7,8.8,8.8,9,T1
1,"College of Engineering, Anna University ",Tamil nadu,"50,000","50,000",8.4,8.7,7.7,8.1,8.7,8.3,8.7,T3
2,"NIT Trichy, Tiruchirappalli ",Tamil nadu,"1,49,250","99,250",8.5,8.6,7.8,8.2,8.7,8.8,8.7,T2
3,Vellore Institute of Technology ,Tamil nadu,"1,98,000","1,83,000",8.3,8.3,8,7.8,8.9,8.5,8.5,T3
4,"SRM Engineering College, Kanchipuram ",Tamil nadu,"2,60,000","1,70,000",7.2,6.5,6.6,6.9,7.6,7.1,8.3,T3
5,SSN College of Engineering ,Tamil nadu,"50,000","50,000",8.6,8.9,7.6,8.7,9.1,8.3,8.8,T3
6,"SASTRA University, Thanjavur ",Tamil nadu,"1,67,000","1,57,000",8.1,8.5,7,8.2,8.3,8.7,8.1,T3
7,P.S.G College of Technology ,Tamil nadu,"87,000","1,54,000",9,9.2,8.7,8.9,9,9.1,8.8,T3
8,Thiagarajar College of Engineering ,Tamil nadu,"50,000","50,000",8.6,8.9,7.9,8.6,8.6,8.7,8.6,T3
9,Coimbatore Institute of Technology ,Tamil nadu,"23,670","1,32,710",8,8.5,6.8,8.2,7.4,8.4,8.5,T3
10,Karunya Institute of Technology and Sciences ,Tamil nadu,"2,13,500","1,21,500",7.9,7.9,7.9,7.9,8.5,7.5,7.4,T3
11,Kumaraguru College of Technology ,Tamil nadu,"50,000","50,000",8.2,8.3,7.6,8,8.8,7.9,8.5,T3
12,"VEL Tech, Chennai ",Tamil nadu,"50,000",--,8.2,8.5,8.5,8.1,7.8,8.3,8.1,T3
13,"Mepco Schlenk Engineering College, Sivakasi ",Tamil nadu,"1,34,000","1,04,150",8.1,8.5,8.1,8.3,8.6,7.9,7,T3
14,Government College of Technology ,Tamil nadu,"9,180","10,110",8.1,8.4,7.1,8.3,8,8,8.8,T3
15,Hindustan Institute of Technology and Science ,Tamil nadu,"2,29,500","1,25,500",7.6,7.8,6.9,7.8,7.9,6.9,8,T3
16,Sri Krishna College of Engineering and Technology ,Tamil nadu,"50,000","50,000",8.1,8.2,7.4,8.2,9,8.2,7.7,T3
17,Kongu Engineering College ,Tamil nadu,"60,000","65,000",8.3,8.3,7.7,8.3,8.9,8.3,8.3,T3
18,Bannari Amman Institute of Technology ,Tamil nadu,"60,000","35,000",8.3,8.2,8.1,8,9.1,8.1,8.2,T3
19,"Sona College of Technology, Salem ",Tamil nadu,"2,00,000","2,29,000",8.1,8.5,7.3,8.3,8.3,7.9,8.5,T3
20,Tamil Nadu Veterinary and Animal Sciences University ,Tamil nadu,"21,415","33,325",8.3,8.4,8,8.4,8.2,8.2,8.4,T3
21,"St. Joseph College Of Engineering, Kanchipuram ",Tamil nadu,"60,000","65,000",8,7,--,--,9,8,--,T4
22,Saveetha Engineering College ,Tamil nadu,"85,000","60,000",8,8.1,7.3,8.1,8.6,7.7,7.9,T3
23,"Sri Sairam Engineering College, Chennai ",Tamil nadu,"50,000","25,000",7.7,8.4,7.3,7.9,8.2,7.9,6.7,T4
24,B.S. Abdur Rahman Crescent Institute of Science ,Tamil nadu,"85,000","40,000",8.2,8.4,7.8,8.3,8.7,7.7,8.2,T3
25,Sri Ramakrishna Engineering College ,Tamil nadu,"55,000","60,000",8.1,8.4,7.7,8,8.3,8.3,8,T3
26,Rajalakshmi Engineering College ,Tamil nadu,"50,000","50,000",7.8,8.1,6.3,8.1,8,8.3,7.7,T4
27,Sri Venkateswara College of Engineering ,Tamil nadu,"65,000","60,000",8.2,8.4,7.4,8.4,8.6,8.1,8,T3
28,IIT Bombay ,Maharashtra,"2,28,000","32,000",8.9,9.3,7.9,8.7,8.9,9.1,9.2,T1
29,Institute of Chemical Technology ,Maharashtra,"85,350","70,750",8.7,9.1,8.1,8.9,8.7,8.4,9.1,T2
30,Visvesvaraya National Institute of Technology ,Maharashtra,"1,49,200","93,600",8.1,8.3,7.5,8,8.4,7.7,8.7,T2
31,College of Engineering ,Maharashtra,"40,500","64,500",8.6,8.7,8.2,8.1,8.5,8.7,9.1,T3
32,Defence Institute of Advanced Technology ,Maharashtra,"1,53,600","45,000",8.8,9,8.6,8.8,9,8.6,8.6,T3
33,National Institute of Industrial Engineering ,Maharashtra,"5,98,000","1,04,000",9,9,9,9,9,9.3,8.6,T2
34,Army Institute of Technology ,Maharashtra,"1,80,197","1,20,560",8.3,8,8.5,7.6,7.9,8.7,9,T3
35,Bharati Vidyapeeth Deemed University ,Maharashtra,"1,20,000","50,000",7.8,8.1,6.8,7.9,8.1,7.7,8.2,T3
36,Veermata Jijabai Technological Institute ,Maharashtra,"84,051","83,734",7.9,8.2,7.2,7.8,7.1,8.7,8.4,T3
37,GH Raisoni College of Engineering ,Maharashtra,"5,60,000","1,32,000",8.4,8.5,8,8.4,8.5,8,8.8,T3
38,Mukesh Patel School of Technology Management and ,Maharashtra,"4,52,000","5,01,500",8.2,8.1,8,7.8,8.7,8.1,8.3,T3
39,Sardar Patel Institute of Technology ,Maharashtra,"1,70,000","1,68,000",8.1,8.4,6.9,7.9,8.3,9.1,8.1,T3
40,Shri Ramdeobaba College of Engineering and Management ,Maharashtra,"1,45,000","1,25,000",8.1,8.3,7.6,8,7.9,8.3,8.2,T3
41,Rashtrasant Tukadoji Maharaj Nagpur University ,Maharashtra,"33,600","60,000",7.5,8,7.2,7.7,7.9,6.9,7.4,T3
42,Yeshwantrao Chavan College of Engineering ,Maharashtra,"1,51,801","1,53,328",7.6,7.7,7,7.6,8.2,7.2,7.6,T3
